account_id,sent_transaction_count,total_sent_amount,avg_sent_amount,received_transaction_count,total_received_amount,avg_received_amount,total_transaction_count,total_flow_amount,net_flow,is_suspicious
A001,6,37248.26,6208.043333333334,8,40902.8,5112.85,14,78151.06,3654.540000000001,0
A002,3,18126.73,6042.243333333333,4,21821.67,5455.4175,7,39948.4,3694.939999999999,0
A003,9,42095.32,4677.257777777778,4,29347.09,7336.7725,13,71442.41,-12748.23,0
A004,5,25459.370000000003,5091.874000000001,6,27581.32,4596.886666666666,11,53040.69,2121.949999999997,0
A005,3,16019.7,5339.900000000001,8,42178.92,5272.365,11,58198.62,26159.22,0
A006,11,56730.31,5157.300909090909,5,15616.48,3123.296,16,72346.79,-41113.83,0
A007,4,15156.11,3789.0275,4,17842.03,4460.5075,8,32998.14,2685.9199999999983,0
A008,6,38419.41,6403.235000000001,9,59860.28,6651.142222222222,15,98279.69,21440.869999999995,0
A009,3,14053.53,4684.51,6,46337.48,7722.913333333334,9,60391.01,32283.950000000004,0
A010,7,41084.07,5869.152857142857,4,18422.84,4605.71,11,59506.91,-22661.23,0
A011,8,38195.28,4774.41,5,35349.24,7069.848,13,73544.51999999999,-2846.040000000001,0
A012,6,37228.46,6204.743333333333,4,27426.93,6856.7325,10,64655.39,-9801.53,0
A013,2,14406.1,7203.049999999999,8,52061.25,6507.65625,10,66467.35,37655.15,0
A014,2,8438.79,4219.395,7,47860.32,6837.188571428572,9,56299.11,39421.53,0
A015,8,32949.66,4118.7075,11,49676.04,4516.003636363636,19,82625.70000000001,16726.379999999997,0
A016,6,30573.45,5095.575,10,41661.0,4166.1,16,72234.45,11087.55,0
A017,6,40995.83,6832.638333333333,6,32922.8,5487.133333333334,12,73918.63,-8073.029999999999,0
A018,8,51202.49,6400.31125,6,37993.68,6332.28,14,89196.17,-13208.809999999998,0
A019,4,25870.52,6467.629999999999,7,35782.020000000004,5111.717142857144,11,61652.54,9911.500000000007,0
A020,7,36368.75,5195.535714285715,7,39976.49,5710.927142857143,14,76345.23999999999,3607.739999999998,0
A021,7,38755.27,5536.467142857144,10,71044.35,7104.435,17,109799.62,32289.08,0
A022,9,56185.380000000005,6242.820000000001,2,10653.79,5326.895,11,66839.17000000001,-45531.59,0
A023,7,40503.7,5786.242857142856,4,24629.99,6157.4975,11,65133.69,-15873.709999999995,0
A024,4,19858.29,4964.5725,6,27479.18,4579.863333333334,10,47337.47,7620.889999999999,0
A025,6,47725.61,7954.268333333333,3,18387.47,6129.156666666667,9,66113.08,-29338.14,0
A026,5,21525.86,4305.1720000000005,4,26765.65,6691.4125,9,48291.51,5239.790000000001,0
A027,2,5692.0,2846.0,10,43996.76,4399.676,12,49688.76,38304.76,0
A028,3,18841.48,6280.493333333333,7,23311.980000000003,3330.2828571428577,10,42153.46000000001,4470.500000000004,0
A029,10,48744.11,4874.411,4,29596.980000000003,7399.245000000001,14,78341.09,-19147.13,0
A030,11,54582.16,4962.014545454545,9,41040.54,4560.06,20,95622.7,-13541.620000000004,0
A031,5,23471.9,4694.38,3,14398.67,4799.556666666666,8,37870.57,-9073.23,0
A032,4,22233.33,5558.3325,6,25116.35,4186.058333333333,10,47349.68000000001,2883.0200000000004,0
A033,5,21039.26,4207.852,4,21878.78,5469.695,9,42918.03999999999,839.5200000000004,0
A034,4,28668.02,7167.005,3,12642.14,4214.046666666666,7,41310.16,-16025.88,0
A035,6,43968.3,7328.05,5,13763.04,2752.608,11,57731.34,-30205.26,0
A036,12,61279.09,5106.590833333333,4,11781.83,2945.4575,16,73060.92,-49497.26,0
A037,11,61338.8,5576.254545454545,5,35050.119999999995,7010.023999999999,16,96388.91999999998,-26288.68,0
A038,5,25144.82,5028.964,8,47643.35,5955.41875,13,72788.17,22498.53,0
A039,8,38035.59,4754.44875,4,14529.36,3632.34,12,52564.95,-23506.23,0
A040,6,25895.59,4315.931666666666,6,41302.19,6883.698333333334,12,67197.78,15406.600000000002,0
A041,9,46899.65,5211.072222222222,5,21787.36,4357.472,14,68687.01000000001,-25112.29,0
A042,4,12136.54,3034.135,3,8931.95,2977.316666666667,7,21068.49,-3204.59,0
A043,7,31892.550000000003,4556.078571428572,9,38556.67,4284.074444444444,16,70449.22,6664.119999999995,0
A044,6,101613.31,16935.551666666666,10,102318.48,10231.848000000002,16,203931.79,705.1700000000128,1
A045,5,13400.75,2680.15,2,7148.879999999999,3574.44,7,20549.63,-6251.870000000001,0
A046,3,8587.119999999999,2862.373333333333,11,42218.03,3838.002727272727,14,50805.15,33630.91,0
A047,8,84979.45999999999,10622.4325,8,88691.71,11086.46375,16,173671.16999999998,3712.250000000015,1
A048,8,42342.63,5292.82875,7,49369.75,7052.821428571428,15,91712.38,7027.120000000003,0
A049,8,97363.18,12170.3975,12,116360.23,9696.685833333337,20,213723.41000000003,18997.050000000003,1
A050,8,71148.87,8893.60875,7,83458.5,11922.642857142857,15,154607.37,12309.630000000005,1
