transaction_id,sender_account,receiver_account,amount,timestamp,is_suspicious
T0001,A041,A008,347.61,2026-01-13T12:24:00,0
T0002,A016,A015,1481.43,2026-01-05T15:57:00,0
T0003,A044,A048,8932.58,2026-01-04T22:57:00,0
T0004,A038,A028,414.65,2026-01-05T06:20:00,0
T0005,A014,A015,5103.02,2026-01-02T04:59:00,0
T0006,A036,A013,7188.59,2026-01-25T19:13:00,0
T0007,A027,A015,4547.17,2026-01-13T15:51:00,0
T0008,A001,A049,8077.61,2026-01-20T05:36:00,0
T0009,A022,A018,1639.25,2026-01-16T07:39:00,0
T0010,A007,A006,3861.28,2026-01-17T08:06:00,0
T0011,A023,A039,2718.76,2026-01-02T23:27:00,0
T0012,A047,A030,5408.66,2026-01-18T05:27:00,0
T0013,A006,A036,3002.46,2026-01-29T14:38:00,0
T0014,A040,A024,5815.79,2026-01-04T03:58:00,0
T0015,A003,A043,2356.19,2026-01-14T04:05:00,0
T0016,A006,A015,8678.19,2026-01-18T07:11:00,0
T0017,A018,A030,6393.28,2026-01-17T14:29:00,0
T0018,A011,A024,3617.18,2026-01-13T03:36:00,0
T0019,A045,A044,6515.55,2026-01-28T17:20:00,0
T0020,A041,A011,5387.98,2026-01-12T03:23:00,0
T0021,A011,A030,3856.61,2026-01-30T03:03:00,0
T0022,A045,A036,2274.19,2026-01-15T18:12:00,0
T0023,A050,A004,2367.58,2026-01-02T11:03:00,0
T0024,A021,A026,2750.63,2026-01-10T14:26:00,0
T0025,A037,A046,3215.31,2026-01-30T19:54:00,0
T0026,A032,A026,8858.36,2026-01-30T06:09:00,0
T0027,A030,A010,2722.31,2026-01-12T05:22:00,0
T0028,A048,A036,5435.88,2026-01-27T14:31:00,0
T0029,A028,A038,4054.07,2026-01-10T23:33:00,0
T0030,A009,A033,4985.81,2026-01-03T03:27:00,0
T0031,A008,A010,6311.72,2026-01-20T05:06:00,0
T0032,A039,A005,3909.2,2026-01-28T02:52:00,0
T0033,A030,A034,2589.0,2026-01-26T04:16:00,0
T0034,A001,A044,7235.15,2026-01-25T10:30:00,0
T0035,A049,A018,7709.13,2026-01-16T11:33:00,0
T0036,A008,A019,4404.18,2026-01-21T15:35:00,0
T0037,A001,A047,8770.94,2026-01-12T23:41:00,0
T0038,A033,A049,1868.65,2026-01-05T20:13:00,0
T0039,A041,A020,8432.53,2026-01-24T02:30:00,0
T0040,A039,A013,1613.11,2026-01-08T08:27:00,0
T0041,A035,A050,9232.1,2026-01-01T00:37:00,0
T0042,A039,A021,4937.2,2026-01-06T02:11:00,0
T0043,A024,A020,2470.58,2026-01-11T23:05:00,0
T0044,A037,A006,947.97,2026-01-23T02:49:00,0
T0045,A005,A049,5373.79,2026-01-06T17:21:00,0
T0046,A009,A043,4805.3,2026-01-26T00:31:00,0
T0047,A011,A017,5323.97,2026-01-28T14:33:00,0
T0048,A028,A014,9296.24,2026-01-10T03:42:00,0
T0049,A046,A020,4050.02,2026-01-30T13:50:00,0
T0050,A024,A029,9006.18,2026-01-21T13:08:00,0
T0051,A008,A016,2324.5,2026-01-16T09:16:00,0
T0052,A002,A038,5583.82,2026-01-27T18:44:00,0
T0053,A015,A001,802.83,2026-01-29T17:19:00,0
T0054,A004,A015,767.26,2026-01-02T10:18:00,0
T0055,A022,A005,5190.15,2026-01-13T16:10:00,0
T0056,A043,A032,2220.94,2026-01-07T00:31:00,0
T0057,A047,A037,5804.5,2026-01-12T01:25:00,0
T0058,A031,A027,1985.06,2026-01-05T09:52:00,0
T0059,A043,A028,3607.55,2026-01-19T17:01:00,0
T0060,A030,A047,636.29,2026-01-30T17:44:00,0
T0061,A042,A007,700.07,2026-01-16T10:36:00,0
T0062,A007,A016,1996.74,2026-01-25T09:46:00,0
T0063,A029,A009,4276.63,2026-01-13T16:14:00,0
T0064,A030,A016,8757.41,2026-01-04T10:20:00,0
T0065,A029,A036,1069.3,2026-01-30T16:18:00,0
T0066,A035,A001,9693.06,2026-01-11T18:11:00,0
T0067,A011,A027,4907.85,2026-01-10T17:28:00,0
T0068,A026,A004,1729.91,2026-01-01T02:21:00,0
T0069,A025,A017,9272.53,2026-01-21T16:59:00,0
T0070,A019,A028,6996.26,2026-01-26T07:02:00,0
T0071,A043,A046,4918.05,2026-01-09T15:25:00,0
T0072,A019,A014,9690.22,2026-01-27T08:37:00,0
T0073,A048,A035,703.48,2026-01-15T06:32:00,0
T0074,A004,A038,4820.21,2026-01-25T04:07:00,0
T0075,A011,A004,9611.71,2026-01-04T15:30:00,0
T0076,A012,A005,5990.85,2026-01-11T16:54:00,0
T0077,A026,A008,9421.8,2026-01-26T22:14:00,0
T0078,A016,A038,5985.74,2026-01-29T04:31:00,0
T0079,A006,A027,6607.99,2026-01-26T17:22:00,0
T0080,A034,A021,9353.59,2026-01-10T07:06:00,0
T0081,A043,A046,3210.42,2026-01-13T02:07:00,0
T0082,A026,A009,6749.73,2026-01-14T15:40:00,0
T0083,A030,A021,9297.28,2026-01-04T07:14:00,0
T0084,A001,A030,6249.48,2026-01-26T14:56:00,0
T0085,A007,A005,5422.58,2026-01-24T00:33:00,0
T0086,A017,A009,9339.27,2026-01-04T03:08:00,0
T0087,A016,A024,2921.38,2026-01-20T22:36:00,0
T0088,A035,A046,3094.92,2026-01-30T18:18:00,0
T0089,A034,A001,6711.85,2026-01-26T05:46:00,0
T0090,A020,A043,1125.51,2026-01-07T02:40:00,0
T0091,A017,A008,8908.16,2026-01-26T04:16:00,0
T0092,A010,A018,2889.39,2026-01-10T14:03:00,0
T0093,A046,A022,2115.61,2026-01-29T20:45:00,0
T0094,A017,A033,4936.47,2026-01-03T07:29:00,0
T0095,A006,A041,4293.4,2026-01-13T14:12:00,0
T0096,A003,A001,3402.21,2026-01-06T22:53:00,0
T0097,A041,A017,1699.66,2026-01-21T02:36:00,0
T0098,A036,A046,4334.1,2026-01-01T10:33:00,0
T0099,A008,A005,9456.0,2026-01-07T18:48:00,0
T0100,A035,A003,8362.49,2026-01-27T12:15:00,0
T0101,A036,A010,4354.89,2026-01-02T21:41:00,0
T0102,A020,A024,8999.92,2026-01-02T19:34:00,0
T0103,A023,A014,6852.46,2026-01-05T16:16:00,0
T0104,A023,A050,5642.85,2026-01-19T11:52:00,0
T0105,A040,A048,1630.08,2026-01-11T18:34:00,0
T0106,A011,A012,8826.02,2026-01-02T03:04:00,0
T0107,A012,A048,9252.42,2026-01-19T17:42:00,0
T0108,A043,A048,8126.42,2026-01-13T03:25:00,0
T0109,A011,A045,1170.15,2026-01-02T18:17:00,0
T0110,A031,A015,2075.77,2026-01-21T22:46:00,0
T0111,A023,A020,8223.31,2026-01-11T08:35:00,0
T0112,A015,A002,6634.33,2026-01-19T03:13:00,0
T0113,A022,A018,8657.09,2026-01-13T16:52:00,0
T0114,A023,A042,5143.12,2026-01-25T09:41:00,0
T0115,A022,A002,1241.88,2026-01-12T21:18:00,0
T0116,A012,A038,9629.09,2026-01-13T01:57:00,0
T0117,A003,A007,6006.06,2026-01-16T17:34:00,0
T0118,A047,A021,4420.3,2026-01-24T06:36:00,0
T0119,A008,A025,9005.1,2026-01-09T15:37:00,0
T0120,A017,A003,7116.97,2026-01-01T01:50:00,0
T0121,A034,A035,6899.89,2026-01-09T23:12:00,0
